sent_id,text,Source,Target,Polar_expression,Polarity
1118167:3,It looked like shredded cheese partly done - still in strips.,,It,like shredded cheese partly done,Positive
1118167:4,I have eaten at many pizza places around NYC and this is hands down the worst.,,,,
1119578:0,This has got to be one of the most overrated restaurants in Brooklyn.,,restaurants,most overrated,Positive
1119578:1,The pizza is overpriced and soggy.,,The pizza,soggy.,Positive
1119578:1,The pizza is overpriced and soggy.,,The pizza,overpriced,Positive
1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",,,,
1119578:3,"A big disappointment, all around.",,all around.,big,Positive
1123262:0,I think I've had some the best meals of my life at minnow.,,meals,best,Positive
1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",,the ever-changing menu,great surprises.,Positive
1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",,the ever-changing menu,always offers,Positive
1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",,,"list,",Positive
1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,,The combination of super-fresh ingredients,really delicious.,Negative
1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,,The combination of super-fresh ingredients,unusual,Negative
1123262:3,Worth the trip from Manhattan.,,,Worth the trip,Positive
1125006:0,Was there Friday night.,,,,
1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,,portion,great,Positive
1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,,portion,ridiculous.,Positive
1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,,Pastrami,Best,Positive
1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,,,had,Positive
1125006:2,And I've been to many NYC delis.,,,,
1125006:3,My wife had the fried shrimp which are huge and loved it.,,,,
1125006:4,Price no more than a Jersey deli but way better.,,,,
1125284:0,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",,,,
1125284:1,This place is the most Japanese it can ever get.,,This place,can ever get.,Positive
1125284:1,This place is the most Japanese it can ever get.,,This place,most Japanese,Positive
1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",,the waitstaff,ALL TOTALLY Japanese.,Positive
1125284:3,This place is worth an one-hour drive.,,This place,worth an one-hour drive.,Positive
1125284:4,"I am so coming back here again, as much as I can.",I,,coming back,Positive
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,,warm,Positive
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,Leon,an East Village gem: casual,Positive
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,,lively atmosphere.,Positive
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,,prepared,Positive
1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",,"the young,",always well trained,Positive
1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",,,enjoy,Positive
1126814:2,Sit outside in the warm weather; inside for cozy winter.,,,outside in the warm,Positive
1126814:3,Decent wine at reasonable prices.,,wine,Decent,Positive
1126814:4,Have been dozens of times and never failed to enjoy the experience.,,the experience.,enjoy,Positive
1126814:4,Have been dozens of times and never failed to enjoy the experience.,,,times,Positive
1126814:5,"Our teenage kids love it, too.",,,,
1126886:0,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",,,,
1126886:1,This is by far my favorite place in the neighborhood.,,,favorite,Positive
1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",,The service,"great,",Positive
1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",,the food,delicious,Positive
1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",,,"excellent,",Positive
1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",,the food,in large portions.,Positive
1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",,,comes,Positive
1126886:3,"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.",,,,
1126886:4,I'm partial to the Gnocchi.,,,,
1131595:0,This place is incredibly tiny.,,This place,incredibly tiny.,Positive
1131595:1,They refuse to seat parties of 3 or more on weekends.,,,,
1131595:2,The hostess is rude to the point of being offensive.,,The hostess,rude to the point of being offensive.,Positive
1131595:3,The food was bland oily.,,The food,bland oily.,Positive
1131595:4,I just don't understand all the hype...,,,,
1138996:0,We went to Ino for Valentines.,,,,
1138996:1,"We have been to this place many times, and always have great food, wine, and service.",,,service.,Positive
1138996:1,"We have been to this place many times, and always have great food, wine, and service.",,,great,Positive
1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",,,,
1138996:3,As always we had a great glass of wine while we waited.,,,great,Positive
1138996:4,"When we sat, we got great and fast service.",,,great,Positive
1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,,people,there are,Positive
1138996:6,Make sure you try this place as often as you can.,,,,
1145510:0,This is a fun restaurant to go to.,,,,
1145510:1,The pizza is yummy and I like the atmoshpere.,I,The pizza,like the atmoshpere.,Positive
1145510:1,The pizza is yummy and I like the atmoshpere.,,The pizza,yummy,Positive
1145510:2,But the pizza is way to expensive.,,the pizza,way to expensive.,Positive
1145510:3,"A large is $20, and toppings are about $3 each.",,,,
1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,,it,not as good,Negative
1147082:1,Sauce was watery and the food didn't have much flavor.,,the food,didn't have much flavor.,Negative
1147082:1,Sauce was watery and the food didn't have much flavor.,,Sauce,watery,Positive
1147082:2,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",,,,
1147082:3,I don't think I would go again.,I,,would go again.,Negative
1147211:0,This place is great.,,This place,great.,Positive
1147211:1,I had a huge group for my birthday and we were well taken care of.,we,,care of.,Positive
1147211:2,The waitress was very patient with us and the food is phenomenal!,,The waitress,very patient,Positive
1147211:2,The waitress was very patient with us and the food is phenomenal!,,the food,phenomenal!,Positive
1147211:3,"Service was prompt, friendly and great.",,Service,great.,Positive
1147211:3,"Service was prompt, friendly and great.",,Service,"prompt, friendly",Positive
1147211:4,Slightly on the pricey side but worth it!,,,worth it!,Negative
1153034:0,Great pizza and fantastic service.,,pizza,Great,Positive
1153034:0,Great pizza and fantastic service.,,service.,fantastic,Positive
1153034:1,"There was a small wait, but shorter than I expected.",,"wait,",There was,Negative
1153034:1,"There was a small wait, but shorter than I expected.",I,,expected.,Negative
1153034:2,Located at the end of a magnificent block.,,,,
1153034:3,Very cozy and warm inside.....,,,warm inside.....,Positive
1153034:3,Very cozy and warm inside.....,,,Very cozy,Positive
1153034:4,I will be back!,I,,will be back!,Negative
1154550:0,This is the best sushi in new york city - hands down.,,sushi,the best,Positive
1154550:1,The place is small and cramped but the food is fantastic.,,the food,fantastic.,Positive
1154550:1,The place is small and cramped but the food is fantastic.,,The place,cramped,Positive
1154550:1,The place is small and cramped but the food is fantastic.,,The place,small,Negative
1154550:2,Get the tuna of gari.,,,,
1154550:3,The one on the east side is much better than the one on the west side.,,,much better,Negative
1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",,"sushi,",great,Positive
1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",,the thai food,excellent,Positive
1162037:1,"With the great variety on the menu , I eat here often and never get bored .",,,great,Positive
1162037:1,"With the great variety on the menu , I eat here often and never get bored .",I,variety,never get bored,Negative
1162037:1,"With the great variety on the menu , I eat here often and never get bored .",I,,often,Positive
1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",,The atmosphere,greatest,Negative
1162037:3,It's all about the food !!,,,,
1167434:0,I went there with my friend last saturday.,,,,
1167434:1,first it took us a long time to find the place.,,,,
1167434:2,"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",,,,
1167434:3,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",,,,
1167434:4,then we ordered a dinosaur rolls and white tuna sashimi.,,,,
1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",,those rolls,wasn't fresh.,Negative
1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",,sashimi,wasn't fresh.,Negative
1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",,those rolls,not good,Negative
1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",,those rolls,"big,",Negative
1167434:6,"they were dry and disgusting, i didn't even finish my first piece.",,,,
1175958:0,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,,,,
1175958:1,"Try the crunchy tuna, it is to die for.",,,,
1175958:2,"Try everything for that matter, it is all good.",,it,all good.,Positive
1175958:3,I have been going there since it opened and I can't get enough.,,,,
1189674:0,First went here to enjoy their garden terrace.,,,,
1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",,The food,"amazing,",Positive
1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",,the service,prompt,Positive
1189674:1,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",,the service,"helpful,",Positive
1189674:2,"The Steak Tartare is a great bet, they fix it for you at the table.",,The Steak Tartare,"bet,",Positive
1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",,the restaurant,"warm,",Negative
1189674:3,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",,the open kitchen,part of the charm.,Positive
1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",,"wine selection, Gigondas",Great,Positive
1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",,the house champagne,a great value.,Positive
1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",,"wine selection,",worth,Positive
1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",,French food,the,Positive
1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",,,best,Positive
1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",,the vibe,good,Positive
1189674:6,"Have recommended the place to friends, always gets good response.",,,,
1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",,,,
1199292:1,Veal Parmigana - Better than Patsy's!,,,Better than Patsy's!,Negative
1199292:2,Much more reasonably priced too!,,,reasonably priced,Positive
1199292:3,I take all my NYC guests to VT's.,,,,
1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",,,has great food!,Positive
1199480:0,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",,neighborhood,great,Positive
1199480:1,I've been there three times and have always had wonderful experiences.,,,,
1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,,occasion,special,Positive
1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,,it,recommend,Positive
1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,,,nice service.,Positive
1205520:0,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,,,,
1205520:1,Even after they overcharged me the last time I was there.,,,,
1205520:2,Make sure you have the Spicy Scallop roll.. .,,,,
1205520:3,it's delicious!,,,,
1212346:0,"Moules were excellent, lobster ravioli was VERY salty!",,ravioli,VERY salty!,Positive
1212346:1,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",,the maitre d',pretty rude.,Positive
1212346:2,"Told us to sit anywhere, and when we sat he said the table was reserved.",,,,
1212346:3,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,,,,
1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,,Tiny dessert,$8.00...just plain overpriced,Negative
1221938:0,The drinks are always welll made and wine selection is fairly priced.,,The drinks,always welll made,Positive
1221938:0,The drinks are always welll made and wine selection is fairly priced.,,wine selection,fairly priced.,Positive
1221938:1,Try their chef's specials-- they are to die for.,,,,
1221938:2,"Service is not exactly five star, but thats not really a big deal.",,Service,"not exactly five star,",Negative
1221938:2,"Service is not exactly five star, but thats not really a big deal.",,Service,not really a big deal.,Negative
1221938:3,Downstairs lounge is always a good attraction,,Downstairs lounge,always a good attraction,Positive
1225162:0,"Raga's is a romantic, cozy restaurant.",,Raga's,"a romantic, cozy restaurant.",Positive
1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,,The exotic food,combinations.,Positive
1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,,The exotic food,delight,Positive
1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,,The exotic food,beautifully presented,Positive
1225162:2,It is also extremely well priced.,,It,extremely well priced.,Positive
1225162:3,The staff is incredibly helpful and attentive.,,The staff,incredibly helpful,Positive
1225162:3,The staff is incredibly helpful and attentive.,,The staff,attentive.,Positive
1225162:4,The bar is very well stocked with interesting beers and well priced wines.,,The bar,very well stocked,Positive
1225162:4,The bar is very well stocked with interesting beers and well priced wines.,,,well priced,Positive
1225162:4,The bar is very well stocked with interesting beers and well priced wines.,,The bar,with interesting beers,Positive
1225162:5,This is one of my favorite restaurants and it is not to be missed.,,it,not to be missed.,Negative
1225162:6,Your friends will thank you for introducing them to this gem!,,,,
1227999:0,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",,,,
1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",,,,
1227999:2,"Then, to top things off, she dropped used silverware on my boyfriend's jacket and did not stop to apologize or clean the mess that was left on clothes.",,,,
1227999:3,Such a disappointment...,,,Such a disappointment...,Negative
1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",,medicore,tons of restaurants,Positive
1230993:0,I had a grat time at Jekyll and Hyde!,,,,
1230993:1,I loved everythig about it-especially the shows and actors.,,,,
1230993:2,Our server was very helpful and friendly.,,Our server,friendly.,Positive
1230993:2,Our server was very helpful and friendly.,,Our server,very helpful,Positive
1230993:3,I am bringing my whole family back next time.,,,back,Positive
1230993:4,The food was good too.,,The food,good too.,Positive
1232468:0,The tuna and wasabe potatoes are excellent.,,The tuna,excellent.,Positive
1232468:0,The tuna and wasabe potatoes are excellent.,,wasabe potatoes,excellent.,Positive
1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,,,,
1232468:2,"Inside is a little cramped, but to be expected.",,Inside,"a little cramped,",Negative
1232468:2,"Inside is a little cramped, but to be expected.",,Inside,to be expected.,Negative
1232468:3,Service was prompt and courteous.,,Service,prompt,Positive
1232468:3,Service was prompt and courteous.,,Service,courteous.,Positive
1232468:4,This was a repeat visit and we'll definitely be back again.,,visit,definitely be back again.,Positive
1232468:4,This was a repeat visit and we'll definitely be back again.,,we'll,definitely be back again.,Positive
1241906:0,"Great service, great food.",,food.,Great,Positive
1241906:0,"Great service, great food.",,food.,great,Positive
1241906:1,Prices are in line.,,Prices,line.,Positive
1241906:2,"Compared to other shabu restaurants around town, this places wins hands-down.",,,,
1241906:3,But too far east!,,,too far east!,Negative
1253117:0,I live a block away and go to Patsy's frequently.,I,,a block away,Positive
1253117:1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",,The pizza,delicious,Positive
1253117:2,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",,some,nice,Positive
1253117:3,"Also, because it is so thin, it gets cold very quickly and its not that filling.",,,very quickly,Negative
1253117:3,"Also, because it is so thin, it gets cold very quickly and its not that filling.",,its,not that filling.,Negative
1253117:4,So eat fast and order a lot.,,,fast,Positive
1253117:5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,,Wait staff,blantently unappreciative,Positive
1253117:5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,,pie,best,Positive
1256373:0,By far the best salad I have had in a fast food restaurant.,,,fast,Positive
1256373:0,By far the best salad I have had in a fast food restaurant.,,salad,the best,Positive
1256373:1,fine dining restaurant quality.,,dining restaurant,fine,Positive
1256373:1,fine dining restaurant quality.,,dining,fine,Positive
1256373:2,Over 100 different choices to create your own.,,,,
1256373:3,A must try!,,,,
1264954:0,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",,restaurant,great,Positive
1264954:1,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",,,perfect,Positive
1264954:1,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",,,delicious,Positive
1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",,the service,professional wan warm.,Positive
1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",,The chicken pot pie,"delictable,",Positive
1264954:3,"With so many poor experiences to be had in the theater district, is truly an excellent find!",,,,
1264954:4,We will return many times for this oasis in mid-town.,We,times,return,Positive
1269216:0,I grew up on these bagels.,,,,
1269216:1,The staff is no nonsense.,,The staff,no nonsense.,Negative
1269216:2,The food options rule.,,The food options,rule.,Positive
