sent_id,text,Source,Target,Polar_expression,Polarity
1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",,the rock shrimp tempura,good,Positive
1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",,share!,good,Positive
1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",,The spicy tuna roll,great appetizer to share!,Positive
1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",,the rock shrimp tempura,great appetizer to share!,Positive
1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",,share!,great appetizer to share!,Positive
1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,,,came back,Positive
1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,,Restaurant Saul,make,Positive
1041457:0,"I had my eyes on this place, promising myself I will one day 'give it a try.' ",,my,try.',Positive
1041457:0,"I had my eyes on this place, promising myself I will one day 'give it a try.' ",,it,try.',Positive
1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",,Service,be,Negative
1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",,the price,be,Negative
1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",,"place,",used,Negative
1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",,"place,",be,Negative
1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",,"place,",not,Negative
1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",,"place,",longer.,Negative
1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",,Everything,always,Positive
1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",,Everything,the decor cool,Positive
1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,,The food,too sweet or,Negative
1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,,portions tiny.,too sweet or,Negative
1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,,The food,salty,Negative
1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,,portions tiny.,salty,Negative
1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,,The food,portions tiny.,Negative
1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,,portions tiny.,portions tiny.,Negative
1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",,the food,always,Positive
1032695:2,I had the duck breast special on my last visit and it was incredible.,,the duck breast,special,Positive
1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,,their Grilled Chicken,enjoyed,Positive
1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,,their Grilled Chicken,special with Edamame Puree.,Positive
1053543:0,We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.,,,,
1058221:0,"i have eaten here a handful of times, for no reason besides sheer convenience.",,,no,Negative
1041457:1,And I hate to say this but I doubt I'll ever go back. ,,this,ever go back.,Positive
1058221:3,"however, it's the service that leaves a bad taste in my mouth.",,,,
1004293:4,"After all that, they complained to me about the small tip.",,,complained,Negative
1004293:4,"After all that, they complained to me about the small tip.",,,about the small tip.,Negative
1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,,restaurant,the best,Positive
1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,,restaurant,on Smith Street,Positive
1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,,restaurant,Brooklyn.,Positive
1058221:7,the last time i walked by it looked pretty empty. hmmm.,,,empty. hmmm.,Positive
1014458:3,The wine list is interesting and has many good values.,,The wine,interesting,Positive
1014458:3,The wine list is interesting and has many good values.,,The wine,has,Positive
1014458:3,The wine list is interesting and has many good values.,,The wine,good values.,Positive
1014458:4,"For the price, you cannot eat this well in Manhattan.",,,well in Manhattan.,Positive
1016296:5,I/we will never go back to this place again.,,this place,will never go back to,Positive
1058221:1,"(i hang out, and live, in the neighborhood..) ",,,the neighborhood..),Positive
1016296:0,I was very disappointed with this restaurant.,,,very disappointed,Positive
1016296:0,I was very disappointed with this restaurant.,,,restaurant.,Negative
1032695:3,Can't wait wait for my next visit.,,,,
1053543:1,What's the difference between the two?,,,,
1016296:3,"Food was okay, nothing great.",,Food,great.,Positive
1028246:2,You can't go wrong here.,,,,
1055910:0,we love th pink pony.,,pink,pony.,Positive
1055910:3,Service- friendly and attentive.,,,friendly,Positive
1055910:4,Ambiance- relaxed and stylish.,,,Ambiance- relaxed,Positive
1058221:2,the food is decent.,,,,
1004293:5,Avoid this place!,,,,
1055910:1,THe perfect spot.,,,perfect spot.,Positive
1055910:2,Food-awesome.,,,,
1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,The service,yet,Negative
1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,the food,yet,Negative
1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,the wine list,yet,Negative
1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,The service,far better than many,Negative
1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,the food,far better than many,Negative
1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,the wine list,far better than many,Negative
1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,The service,well priced.,Positive
1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,the food,well priced.,Positive
1084394:2,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",,the wine list,well priced.,Positive
1086415:4,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",,here,there,Negative
1086415:4,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",,here,no comparison.,Negative
1084394:0,"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.",,it,not hideously expensive,Negative
1084394:0,"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.",,it,across reviews for La Lanterna,Positive
1084394:0,"Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across reviews for La Lanterna and gave it a shot.",,it,shot.,Positive
1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,,house,Weehawken you,Positive
1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,,house,idea of the top of view,Positive
1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,,house,has to offer.,Positive
1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",,The food,"not overly impressive,",Negative
1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",,French Onion soup filling,"not overly impressive,",Negative
1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",,the desserts,"not overly impressive,",Negative
1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",,The food,not brilliant in any,Negative
1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",,French Onion soup filling,not brilliant in any,Negative
1102681:2,"The food was average to above-average; the French Onion soup filling yet not overly impressive, and the desserts not brilliant in any way.",,the desserts,not brilliant in any,Negative
1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",,,good,Positive
1119578:2,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",,,how,Positive
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,service,great,Positive
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,food,great,Positive
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,service,great,Positive
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,food,great,Positive
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,service,reasonable price,Positive
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,food,reasonable price,Positive
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,service,you have yourself,Positive
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,food,you have yourself,Positive
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,service,great evening.,Positive
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,,food,great evening.,Positive
1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,,The Prix Fixe menu,penny,Positive
1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,,every,penny,Positive
1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,,The Prix Fixe menu,more than enough,Positive
1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,,every,more than enough,Positive
1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,,The Prix Fixe menu,quantity AND quality).,Negative
1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,,every,quantity AND quality).,Negative
1086415:0,"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.",,the lunch buffet,neighborhood.,Negative
1086415:0,"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.",,Chennai,neighborhood.,Negative
1102681:3,"However, go for the ambience, and consider the food just a companion for a trip across the world!",,food,across the world!,Positive
1118167:0,"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.",,the,never,Negative
1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",,,,
1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,,it,took,Positive
1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,,it,deal on saturday,Negative
1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,,it,well worth it.,Negative
1074868:1,She lives nearby but had never gone to this establishment thinking that it might be too touristy.,,,never,Negative
1074868:1,She lives nearby but had never gone to this establishment thinking that it might be too touristy.,,,touristy.,Negative
1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",,The ambience,pretty,Positive
1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",,The ambience,nice,Positive
1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",,The ambience,would,Negative
1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",,The ambience,best.,Negative
1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",,consistency-not,"perfect consistency-not too fishy, creamy,",Positive
1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",,consistency-not,slightly buttery.,Positive
1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",,the,dissapointing.,Negative
1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",,the,dissapointing.,Negative
1118167:4,I have eaten at many pizza places around NYC and this is hands down the worst.,,,hands down the worst.,Negative
1062641:0,This place has got to be the best japanese restaurant in the new york area.,,This place,the best,Positive
1062641:0,This place has got to be the best japanese restaurant in the new york area.,,restaurant,the best,Positive
1086478:0,"The food here is rather good, but only if you like to wait for it.",,The food,"rather good,",Negative
1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,,,,
1084394:1,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,,,Quite simply it's like stepping out,Positive
1084394:1,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,,,a haven of tranquility.,Negative
1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",,there,"there is much tasty food, all of it fresh",Positive
1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",,of it,"there is much tasty food, all of it fresh",Positive
1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",,there,refilled.,Positive
1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",,of it,refilled.,Positive
1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",,,"very nice,",Positive
1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",,"Also,",rather bland if you don't.,Positive
1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",,,,
1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",,certain,tiny,Negative
1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",,certain,as cozy,Negative
1102681:1,"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",,certain,certain Parisian flair.,Negative
1074868:3,"In the evening, this place attracted a well dressed, with it, NY crowd.",,this,"with it, NY crowd.",Positive
1119578:0,This has got to be one of the most overrated restaurants in Brooklyn.,,This,one of the most overrated restaurants in Brooklyn.,Positive
1074868:0,I went to this restaurant with a woman that I met recently.,,,,
1086415:3,"I am not a vegetarian but, almost all the dishes were great.",,"a vegetarian but,",great.,Positive
1086415:3,"I am not a vegetarian but, almost all the dishes were great.",,the,great.,Positive
1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,,The pizza,cold,Negative
1118167:2,The pizza was delivered cold and the cheese wasn't even fully melted!,,The pizza,melted!,Negative
1118167:3,It looked like shredded cheese partly done - still in strips.,,,strips.,Positive
1090587:3,The lava cake dessert was incredible and I recommend it.,,The lava cake dessert,recommend it.,Positive
1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,,The sushi,pretty fresh,Positive
1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,,proportioned.,pretty fresh,Positive
1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,,The sushi,proportioned.,Positive
1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,,proportioned.,proportioned.,Positive
1074868:4,The food was well prepared and the service impecable.,,The food,well prepared,Positive
1084394:4,I will be going back and heartily recommend it!,,it!,will be going back,Positive
1084394:4,I will be going back and heartily recommend it!,,it!,recommend it!,Positive
1062641:4,I have been going back again and again.,,,have been going back again,Positive
1074868:2,Surprisingly nothing could be further from the truth.,,,could be,Negative
1074868:2,Surprisingly nothing could be further from the truth.,,,the truth.,Negative
1090587:0,Just went here for my girlfriends 23rd bday.,,,,
1086415:1,"It is terrific, as is the value.",,value.,value.,Negative
1086478:3,"The kitchen however, is almost always slow.",,"The kitchen however,",slow.,Negative
1119578:1,The pizza is overpriced and soggy.,,,,
1062641:1,I had a great experience.,,,had,Positive
1062641:1,I had a great experience.,,,great experience.,Positive
1119578:3,"A big disappointment, all around.",,around.,big,Positive
1119578:3,"A big disappointment, all around.",,around.,around.,Positive
1062641:3,Service is top notch.,,Service,notch.,Positive
1086415:5,Go hungry and enjoy.,,,Go hungry,Positive
1062641:2,Food is great.,,Food,great.,Positive
1074868:5,I'm going back.,,,going,Positive
1118167:1,IT WAS HORRIBLE.,,,,
1125284:0,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",,,,
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,"hip,",Village gem: casual,Negative
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,French,Village gem: casual,Negative
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,"hip,",well prepared basic,Positive
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,French,well prepared basic,Positive
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,"hip,","bistro fare, good specials, a warm",Positive
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,French,"bistro fare, good specials, a warm",Positive
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,"hip,",atmosphere.,Positive
1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",,French,atmosphere.,Positive
1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",,"the young,",always,Positive
1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",,story.,always,Positive
1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",,"the young,",not always well trained,Positive
1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",,story.,not always well trained,Positive
1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",,"the young,",have a story.,Negative
1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",,story.,have a story.,Negative
1147082:2,"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",,,not the,Negative
1126886:0,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",,,,
1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read.,,it,not as,Negative
1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",,The seafood,always offers,Positive
1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",,"wine list,",always offers,Positive
1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",,the ever-changing menu,always offers,Positive
1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",,The seafood,great surprises.,Positive
1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",,"wine list,",great surprises.,Positive
1123262:1,"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",,the ever-changing menu,great surprises.,Positive
1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",,The service,delicious,Positive
1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",,the food,delicious,Positive
1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",,The service,large,Positive
1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",,the food,large,Positive
1126886:3,"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.",,,in,Positive
1126886:3,"You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.",,,compare.,Positive
1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",,,managed to have a short wait.,Negative
1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,,,always,Positive
1138996:5,The people that work there are always so friendly you forget you are in New York sometimes.,,,friendly you,Positive
1138996:1,"We have been to this place many times, and always have great food, wine, and service.",,this,"always have great food, wine,",Positive
1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",,the waitstaff,Japanese.,Positive
1147211:1,I had a huge group for my birthday and we were well taken care of.,,,well taken care of.,Positive
1147211:1,I had a huge group for my birthday and we were well taken care of.,,,well taken care of.,Positive
1123262:0,I think I've had some the best meals of my life at minnow.,,,best,Positive
1123262:2,The combination of super-fresh ingredients in the dishes are unusual but really delicious.,,The combination of super-fresh ingredients in the dishes,really delicious.,Negative
1125006:3,My wife had the fried shrimp which are huge and loved it.,,the fried,huge,Positive
1125006:3,My wife had the fried shrimp which are huge and loved it.,,the fried,loved,Positive
1125284:4,"I am so coming back here again, as much as I can.",,,coming back,Positive
1125284:4,"I am so coming back here again, as much as I can.",,,much,Negative
1126814:4,Have been dozens of times and never failed to enjoy the experience.,,,never,Positive
1138996:3,As always we had a great glass of wine while we waited.,,glass,always,Positive
1138996:3,As always we had a great glass of wine while we waited.,,glass,great,Positive
1147211:2,The waitress was very patient with us and the food is phenomenal!,,The waitress,very,Positive
1147211:2,The waitress was very patient with us and the food is phenomenal!,,the food,very,Positive
1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,,,Best,Positive
1125006:1,Best Pastrami I ever had and great portion without being ridiculous.,,,great,Positive
1131595:1,They refuse to seat parties of 3 or more on weekends.,,,on weekends.,Negative
1138996:6,Make sure you try this place as often as you can.,,,,
1125006:4,Price no more than a Jersey deli but way better.,,Price,no more than a Jersey deli,Negative
1125284:1,This place is the most Japanese it can ever get.,,This place,most,Positive
1125284:1,This place is the most Japanese it can ever get.,,This place,get.,Positive
1126814:2,Sit outside in the warm weather; inside for cozy winter.,,,outside in the warm weather; inside,Positive
1126814:2,Sit outside in the warm weather; inside for cozy winter.,,,cozy winter.,Positive
1126886:1,This is by far my favorite place in the neighborhood.,,,,
1131595:2,The hostess is rude to the point of being offensive.,,,rude,Negative
1145510:3,"A large is $20, and toppings are about $3 each.",,"$20,",large,Positive
1145510:3,"A large is $20, and toppings are about $3 each.",,toppings,large,Positive
1145510:3,"A large is $20, and toppings are about $3 each.",,"$20,",are,Positive
1145510:3,"A large is $20, and toppings are about $3 each.",,toppings,are,Positive
